C9orf152	NM_001012993	hypothetical protein LOC401546
HS6ST2	NM_147175/NM_001077188	heparan sulfate 6-O-sulfotransferase 2 isoform
CHAT	NM_020986/NM_020985/NM_020549/NM_020984	choline acetyltransferase isoform 1/choline acetyltransferase isoform 2
RAB6B	NM_016577	RAB6B, member RAS oncogene family
TTBK1	NM_032538	tau tubulin kinase 1
PDPK1	NM_002613/NM_031268	3-phosphoinositide dependent protein kinase-1
KYNU	NM_001032998/NM_003937	kynureninase (L-kynurenine hydrolase) isoform b/kynureninase (L-kynurenine hydrolase) isoform a
CPT1B	NM_004377/NM_152247/NM_152245/NM_152246	carnitine palmitoyltransferase 1B isoform a/carnitine palmitoyltransferase 1B isoform b
MS4A5	NM_023945	membrane-spanning 4-domains, subfamily A, member
GPN3	NM_016301	GPN-loop GTPase 3
PCDHB4	NM_018938	protocadherin beta 4 precursor
STK32A	NM_001112724/NM_145001	serine/threonine kinase 32A isoform 1/serine/threonine kinase 32A isoform 2
PDILT	NM_174924	protein disulfide isomerase-like protein of the
CYBASC3	NM_153611	cytochrome b, ascorbate dependent 3
ZNF792	NM_175872	zinc finger protein 792
STX11	NM_003764	syntaxin 11
TBXAS1	NM_001061/NM_030984/NM_001130966	thromboxane A synthase 1 isoform TXS-I/thromboxane A synthase 1 isoform TXS-II
C14orf159	NM_001102367/NM_001102368/NM_001102369/NM_024952/NM_001102366	hypothetical protein LOC80017 isoform a/hypothetical protein LOC80017 isoform b/hypothetical protein LOC80017 isoform c
HSF4	NM_001040667/NM_001538	heat shock transcription factor 4 isoform b/heat shock transcription factor 4 isoform a
INTS10	NM_018142	integrator complex subunit 10
USP25	NM_013396	ubiquitin specific protease 25
ZNF124	NM_003431	zinc finger protein 124
NCRNA00113	NR_024357
NICN1	NM_032316	nicolin 1
PCYOX1	NM_016297	prenylcysteine oxidase 1
SPRED1	NM_152594	sprouty-related protein 1 with EVH-1 domain
CYTH2	NM_017457/NM_004228	cytohesin 2 isoform 1/cytohesin 2 isoform 2
DMRTA1	NM_022160	DMRT-like family A1
RAD51C	NM_058216/NM_002876	RAD51 homolog C isoform 1/RAD51 homolog C isoform 2
PLEKHA7	NM_175058	pleckstrin homology domain containing, family A
SLPI	NM_003064	secretory leukocyte peptidase inhibitor
FAM168B	NM_001009993	hypothetical protein LOC130074
GPR45	NM_007227	G protein-coupled receptor 45
SPEN	NM_015001	spen homolog, transcriptional regulator
REV1	NM_016316/NM_001037872	REV1-like isoform 1/REV1-like isoform 2
PRPS1	NM_002764	phosphoribosyl pyrophosphate synthetase 1
GNA15	NM_002068	guanine nucleotide binding protein (G protein),
CNTNAP4	NM_138994/NM_033401	cell recognition protein CASPR4 isoform 2/cell recognition protein CASPR4 isoform 1
NIP30	NM_024946	hypothetical protein LOC80011
LOC646762	NR_024278
TTC32	NM_001008237	tetratricopeptide repeat domain 32
ZNF217	NM_006526	zinc finger protein 217
LOC400927	NR_002821
TRPC2	NR_002720
FRAT2	NM_012083	GSK-3 binding protein FRAT2
LHX8	NM_001001933	LIM homeobox 8
KIAA1303	NM_020761	raptor
MCHR1	NM_005297	G protein-coupled receptor 24
ACCN2	NM_001095/NM_020039	amiloride-sensitive cation channel 2, neuronal
OPRS1	NM_005866/NM_147157	opioid receptor, sigma 1 isoform 1/opioid receptor, sigma 1 isoform 2
KCNG2	NM_012283	potassium voltage-gated channel, subfamily G,
HIRIP3	NM_003609	HIRA interacting protein 3
SCARNA14	NR_004388
ZNF101	NM_033204	zinc finger protein 101
MPHOSPH8	NM_017520	M-phase phosphoprotein 8
GALM	NM_138801	galactose mutarotase (aldose 1-epimerase)
THEM2	NM_018473	thioesterase superfamily member 2
WDFY4	NM_020945	WDFY family member 4
MTIF3	NM_152912	mitochondrial translational initiation factor 3
NCRNA00111	NR_024367
ATF5	NM_012068	activating transcription factor 5
OPRL1	NM_000913/NM_182647	opiate receptor-like 1
CTH	NM_001902/NM_153742	cystathionase isoform 1/cystathionase isoform 2
LOC643905	NM_001080835	hypothetical protein LOC643905
TULP4	NM_020245/NM_001007466	tubby like protein 4 isoform 1/tubby like protein 4 isoform 2
PAPPA2	NM_021936/NM_020318	pappalysin 2 isoform 2/pappalysin 2 isoform 1
SLC4A2	NM_003040	solute carrier family 4, anion exchanger, member
OR4C12	NM_001005270	olfactory receptor, family 4, subfamily C,
PGM5P2	NR_002836
CYB5D2	NR_023346/NM_144611/NR_023347	cytochrome b5 domain containing 2
RBM46	NM_144979	RNA binding motif protein 46
PKNOX1	NM_004571	PBX/knotted 1 homeobox 1
PFKFB3	NM_004566	6-phosphofructo-2-kinase/fructose-2,
SFRP4	NM_003014	secreted frizzled-related  protein 4
AGTR1	NM_000685/NM_009585/NM_004835/NM_031850/NM_032049	angiotensin II receptor, type 1
HAR1A	NR_003244
HAPLN2	NM_021817	brain link protein-1
ABCB5	NM_178559	ATP-binding cassette, sub-family B, member 5
FAM166B	NM_001099951	hypothetical protein LOC730112
JPH4	NM_032452	junctophilin 4
CRYBG3	NM_153605	beta-gamma crystallin domain containing 3
USP2	NM_171997/NM_004205	ubiquitin specific peptidase 2 isoform b/ubiquitin specific peptidase 2 isoform a
DDA1	NM_024050	DET1 and DDB1 associated 1
MAN2A1	NM_002372	mannosidase, alpha, class 2A, member 1
HRASLS5	NM_054108	HRAS-like suppressor family, member 5
ABCG4	NM_022169	ATP-binding cassette, subfamily G, member 4
SPECC1	NM_152904/NM_001033553/NM_001033554/NM_001033555	spectrin domain with coiled-coils 1 NSP5b3a/spectrin domain with coiled-coils 1 NSP5b3b/spectrin domain with coiled-coils 1 NSP5a3a/spectrin domain with coiled-coils 1 NSP5a3b
LOC441666	NR_024380
LOC400581	NM_001129778	hypothetical protein LOC400581
CBX8	NM_020649	chromobox homolog 8
RND3	NM_005168	ras homolog gene family, member E
COQ3	NM_017421	methyltransferase COQ3
RFESD	NM_173362/NM_001131065/NM_001131066	Rieske (Fe-S) domain containing isoform 2/Rieske (Fe-S) domain containing isoform 1
KLC3	NM_177417	kinesin light chain 3
FOXN4	NM_213596	forkhead box N4
IL1RAP	NM_134470/NM_002182	interleukin 1 receptor accessory protein isoform
NDOR1	NM_014434	NADPH dependent diflavin oxidoreductase 1
TJP1	NM_175610/NM_003257	tight junction protein 1 isoform b/tight junction protein 1 isoform a
C1orf128	NM_020362	chromosome 1 open reading frame 128
SELI	NM_033505	selenoprotein I
RALGDS	NM_006266/NM_001042368	ral guanine nucleotide dissociation stimulator
PTPRT	NM_133170/NM_007050	protein tyrosine phosphatase, receptor type, T
GPR44	NM_004778	G protein-coupled receptor 44
C7orf27	NM_152743	hypothetical protein LOC221927
ZKSCAN4	NM_019110	zinc finger with KRAB and SCAN domains 4
CCKBR	NM_176875	cholecystokinin B receptor
RBM12B	NM_203390	RNA binding motif protein 12B
ADRB2	NM_000024	adrenergic, beta-2-, receptor, surface
PRSS3	NM_007343/NM_002771	mesotrypsin isoform 1 preproprotein/mesotrypsin isoform 2 preproprotein
CD3D	NM_000732/NM_001040651	CD3D antigen, delta polypeptide isoform A/CD3D antigen, delta polypeptide isoform B
CTSD	NM_001909	cathepsin D preproprotein
PLEKHH2	NM_172069	pleckstrin homology domain containing, family H
SEMA3B	NM_004636/NM_001005914	semaphorin 3B isoform 1 precursor/semaphorin 3B isoform 2 precursor
MRPL17	NM_022061	mitochondrial ribosomal protein L17
LOC729627	NM_001134659	hypothetical protein LOC729627
ARHGAP19	NM_032900	Rho GTPase activating protein 19
ADSSL1	NM_199165/NM_152328	adenylosuccinate synthase-like 1 isoform 1/adenylosuccinate synthase-like 1 isoform 2
GLI3	NM_000168	GLI-Kruppel family member GLI3
LRRTM1	NM_178839	leucine rich repeat transmembrane neuronal 1
VAV2	NM_003371/NM_001134398	vav 2 guanine nucleotide exchange factor isoform
PMCH	NM_002674	pro-melanin-concentrating hormone
ERCC3	NM_000122	excision repair cross-complementing rodent
LOC196415	NM_001101339	hypothetical protein LOC196415
MORG1	NM_032332/NM_001099737	mitogen-activated protein kinase organizer 1
TFRC	NM_003234/NM_001128148	transferrin receptor
OCIAD1	NM_017830/NM_001079842/NM_001079841/NM_001079839/NM_001079840	OCIA domain containing 1 isoform 1/OCIA domain containing 1 isoform 3/OCIA domain containing 1 isoform 2
TMEM80	NM_174940/NM_001042463	transmembrane protein 80 isoform 1/transmembrane protein 80 isoform 2
RBPMS2	NM_194272	RNA binding protein with multiple splicing 2
DDX46	NM_014829	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
TCEAL4	NM_001006935/NM_001006936/NM_001006937/NM_024863	transcription elongation factor A (SII)-like 4
AK2	NM_013411/NM_001625	adenylate kinase 2 isoform b/adenylate kinase 2 isoform a
LHPP	NM_022126	phospholysine phosphohistidine inorganic
BCOR	NM_001130139/NM_017745/NM_001123383/NM_001123384/NM_001123385	BCL-6 interacting corepressor isoform c/BCL-6 interacting corepressor isoform a/BCL-6 interacting corepressor isoform b
AVPR2	NM_000054	arginine vasopressin receptor 2
NSUN3	NM_022072	NOL1/NOP2/Sun domain family, member 3
MEIS3	NM_001009813/NM_020160	Meis1, myeloid ecotropic viral integration site
GRB14	NM_004490	growth factor receptor-bound protein 14
ARAP3	NM_022481	ArfGAP with RhoGAP domain, ankyrin repeat and PH
REG3G	NM_001008387/NM_198448	regenerating islet-derived 3 gamma
RXFP1	NM_021634	relaxin/insulin-like family peptide receptor 1
SERPINF2	NM_000934	alpha-2-plasmin inhibitor
DYNC1I2	NM_001378	dynein, cytoplasmic 1, intermediate chain 2
TTTY17B	NR_002180
SLC10A2	NM_000452	solute carrier family 10 (sodium/bile acid
ZBP1	NM_030776	Z-DNA binding protein 1
DHRS3	NM_004753	dehydrogenase/reductase (SDR family) member 3
PBK	NM_018492	PDZ binding kinase
ALDOA	NM_184043/NM_000034/NM_184041/NM_001127617	aldolase A
SNORD116-9	NR_003324
EXOSC5	NM_020158	exosome component Rrp46
TXNDC16	NM_020784	thioredoxin domain containing 16
THAP3	NM_138350	THAP domain containing, apoptosis associated
VPS13D	NM_015378/NM_018156	vacuolar protein sorting 13D isoform 1/vacuolar protein sorting 13D isoform 2
MARCH9	NM_138396	membrane-associated RING-CH protein IX
SKIV2L	NM_006929	superkiller viralicidic activity 2-like homolog
CCDC62	NM_032573/NM_201435	coiled-coil domain containing 62 isoform a/coiled-coil domain containing 62 isoform b
LOC642250	NM_001089592	hypothetical protein LOC642250
SNORD2	NR_002587
CLEC6A	NM_001007033	dectin-2
ATF4	NM_001675/NM_182810	activating transcription factor 4
SPIN1	NM_006717	spindlin
C19orf62	NM_001033549/NM_014173	hypothetical protein LOC29086
IL12A	NM_000882	interleukin 12A precursor
RAPGEF4	NM_001100397/NM_007023	Rap guanine nucleotide exchange factor (GEF) 4
CROP	NM_016424/NM_006107	cisplatin resistance-associated overexpressed
CST5	NM_001900	cystatin D precursor
C3orf37	NM_001006109/NM_020187	hypothetical protein LOC56941
ZNF696	NM_030895	zinc finger protein 696
LIN28	NM_024674	lin-28 homolog
IKIP	NM_201613/NM_201612/NM_153687	IKK interacting protein isoform 3.1/IKK interacting protein isoform 2/IKK interacting protein isoform 1
INO80C	NM_001098817/NM_194281	Ies6-similar protein isoform 1/Ies6-similar protein isoform 2
KIAA1539	NM_025182	hypothetical protein LOC80256
WHSC2	NM_005663	Wolf-Hirschhorn syndrome candidate 2 protein
RFXANK	NM_003721/NM_134440	regulatory factor X-associated
OR5F1	NM_003697	olfactory receptor, family 5, subfamily F,
SPDYC	NM_001008778	speedy C
FAF2	NM_014613	UBX domain containing 8
FADS6	NM_178128	fatty acid desaturase domain family, member 6
ADA	NM_000022	adenosine deaminase
PDCD10	NM_145859/NM_145860/NM_007217	programmed cell death 10
RSBN1L	NM_198467	round spermatid basic protein 1-like
DCTN6	NM_006571	dynactin 6
SNAI3	NM_178310	snail homolog 3
GRAMD1A	NM_020895/NM_001136199	GRAM domain containing 1A isoform 1/GRAM domain containing 1A isoform 2
SSNA1	NM_003731	nuclear autoantigen of 14 kDa
ELOVL4	NM_022726	elongation of very long chain fatty acids-like
ONECUT3	NM_001080488	one cut homeobox 3
CCL24	NM_002991	small inducible cytokine A24 precursor
ZMAT3	NM_152240/NM_022470	p53 target zinc finger protein isoform 2/p53 target zinc finger protein isoform 1
DGCR11	NR_024157
ATF7IP	NM_018179	activating transcription factor 7 interacting
CASKIN1	NM_020764	CASK interacting protein 1
CCDC8	NM_032040	coiled-coil domain containing 8
FAM131A	NM_144635	hypothetical protein LOC131408
VIPR2	NM_003382	vasoactive intestinal peptide receptor 2
ANP32D	NM_012404	acidic nuclear phosphoprotein 32D
MRPL44	NM_022915	mitochondrial ribosomal protein L44
LIMK2	NM_005569/NM_016733/NM_001031801	LIM domain kinase 2 isoform 2a/LIM domain kinase 2 isoform 2b/LIM domain kinase 2 isoform 1
ETF1	NM_004730	eukaryotic translation termination factor 1
HHAT	NM_018194/NM_001122834	hedgehog acyltransferase
PROL1	NM_021225	proline rich, lacrimal 1
C19orf20	NM_033513	tubulin polyglutamylase complex subunit 1
KCNJ14	NM_013348/NM_170720	potassium inwardly-rectifying channel J14
UBE4A	NM_004788	ubiquitination factor E4A
MYST1	NM_182958/NM_032188	MYST histone acetyltransferase 1 isoform 2/MYST histone acetyltransferase 1 isoform 1
MX2	NM_002463	myxovirus resistance protein 2
HSP90AA1	NM_001017963/NM_005348	heat shock protein 90kDa alpha (cytosolic),
SHF	NM_138356	Src homology 2 domain containing F
EIF2C1	NM_012199	eukaryotic translation initiation factor 2C, 1
SEL1L	NM_005065	sel-1 suppressor of lin-12-like
CCDC68	NM_025214	coiled-coil domain containing 68
NDUFC2	NM_004549	NADH dehydrogenase (ubiquinone) 1, subcomplex
C7orf51	NM_173564	hypothetical protein FLJ37538
ACSM5	NM_017888	acyl-CoA synthetase medium-chain family member
GPR31	NM_005299	G protein-coupled receptor 31
SIAH1	NM_001006610/NM_003031	seven in absentia homolog 1 isoform b/seven in absentia homolog 1 isoform a
SH2D4A	NM_022071	SH2 domain containing 4A
LHX1	NM_005568	LIM homeobox protein 1
EIF4B	NM_001417	eukaryotic translation initiation factor 4B
BTF3L4	NM_152265/NM_001136497/NR_024350	basic transcription factor 3-like 4 isoform 1/basic transcription factor 3-like 4 isoform 2
KRT2	NM_000423	keratin 2
GOLGA7	NM_001002296/NM_016099	golgi autoantigen, golgin subfamily a, 7
MAGEC2	NM_016249	melanoma antigen family C, 2
KLKBL4	NM_001080492	plasma kallikrein-like protein 4
BLOC1S1	NM_001487	biogenesis of lysosome-related organelles
LOC728269	NM_001080790	melanoma antigen family A, 9 -like
STX3	NM_004177	syntaxin 3
FLJ35220	NM_173627	hypothetical protein LOC284131
NXPH4	NM_007224	neurexophilin 4
MCTS1	NM_014060/NM_001137554	malignant T cell amplified sequence 1 isoform 1/malignant T cell amplified sequence 1 isoform 2
TGM1	NM_000359	transglutaminase 1
SLC37A4	NM_001467	solute carrier family 37 (glucose-6-phosphate
FAM92B	NM_198491	hypothetical protein LOC339145
SLC25A25	NM_001006641/NM_001006642/NM_052901/NM_001006643	solute carrier family 25, member 25 isoform b/solute carrier family 25, member 25 isoform c/solute carrier family 25, member 25 isoform a/solute carrier family 25, member 25 isoform d
ZC3H13	NM_015070	zinc finger CCCH-type containing 13
LOC646486	NM_001105281	fatty acid binding protein
GPX6	NM_182701	glutathione peroxidase 6
THOC3	NM_032361	THO complex 3
PHACTR4	NM_023923/NM_001048183	phosphatase and actin regulator 4 isoform 2/phosphatase and actin regulator 4 isoform 1
ARPC2	NM_152862/NM_005731	actin related protein 2/3 complex subunit 2
ACYP1	NM_203488/NM_001107	erythrocyte acylphosphatase 1 isoform b/erythrocyte acylphosphatase 1 isoform a
OR9Q2	NM_001005283	olfactory receptor, family 9, subfamily Q,
P2RY13	NM_176894/NM_023914	purinergic receptor P2Y, G-protein coupled, 13
ENG	NM_000118/NM_001114753	endoglin isoform 2 precursor/endoglin isoform 1 precursor
GAPVD1	NM_015635	GTPase activating protein and VPS9 domains 1
CCNO	NM_021147	cyclin domain containing
C9orf64	NM_032307	hypothetical protein LOC84267
RXRG	NM_006917/NM_001009598	retinoid X receptor, gamma isoform a/retinoid X receptor, gamma isoform b
ZNF140	NM_003440	zinc finger protein 140
C7orf45	NM_145268	hypothetical protein LOC136263
PGP	NM_001042371	phosphoglycolate phosphatase
FAM183A	NM_001101376	hCG23177
SULT1E1	NM_005420	sulfotransferase, estrogen-preferring
RGPD4	NM_182588	RANBP2-like and GRIP domain containing 4
CGB7	NM_033142	chorionic gonadotropin, beta polypeptide 7
BRD9	NM_023924/NM_001009877	bromodomain containing 9 isoform 1/bromodomain containing 9 isoform 2
C9orf142	NM_183241	hypothetical protein LOC286257
OR2M5	NM_001004690	olfactory receptor, family 2, subfamily M,
OGT	NM_181673/NM_181672	O-linked GlcNAc transferase isoform 2/O-linked GlcNAc transferase isoform 1
SYT1	NM_005639/NM_001135805/NM_001135806	synaptotagmin I
ACRV1	NM_020107/NM_020115/NM_001612/NM_020110/NM_020111/NM_020069/NM_020113/NM_020109/NM_020108	acrosomal vesicle protein 1 isoform c precursor/acrosomal vesicle protein 1 isoform k precursor/acrosomal vesicle protein 1 isoform a precursor/acrosomal vesicle protein 1 isoform j precursor/acrosomal vesicle protein 1 isoform f precursor/acrosomal vesicle protein 1 isoform b precursor/acrosomal vesicle protein 1 isoform h precursor/acrosomal vesicle protein 1 isoform e precursor/acrosomal vesicle protein 1 isoform d precursor
BHLHB5	NM_152414	basic helix-loop-helix domain containing, class
MARCH2	NM_001005415/NM_016496/NM_001005416	membrane-associated ring finger (C3HC4) 2
ASXL3	NM_030632	additional sex combs like 3
RPIA	NM_144563	ribose 5-phosphate isomerase A (ribose
HIST1H1B	NM_005322	histone cluster 1, H1b
ZNF701	NM_018260	zinc finger protein 701
KCNT2	NM_198503	potassium channel, subfamily T, member 2
SLC11A2	NM_000617	solute carrier family 11 (proton-coupled
CCDC36	NM_178173/NM_001135197	coiled-coil domain containing 36
NBEAL2	NM_015175	neurobeachin-like 2
DEFB106A	NM_152251	defensin, beta 106A precursor
PLA2G2F	NM_022819	phospholipase A2, group IIF
TYROBP	NM_198125/NM_003332	TYRO protein tyrosine kinase binding protein
TCP11	NM_018679/NM_001093728	t-complex 11 isoform 2/t-complex 11 isoform 1
HSPA13	NM_006948	heat shock protein 70kDa family member 13
C15orf21	NR_022014
OR4K13	NM_001004714	olfactory receptor, family 4, subfamily K,
OR4F15	NM_001001674	olfactory receptor, family 4, subfamily F,
FAM108C1	NM_021214	hypothetical protein LOC58489
ASAM	NM_024769	adipocyte-specific adhesion molecule
NPHP4	NM_015102	nephroretinin
TAF6	NM_139123/NM_139122/NM_139315/NM_005641	TBP-associated factor 6 isoform delta/TBP-associated factor 6 isoform gamma/TBP-associated factor 6 isoform alpha
SFRP5	NM_003015	secreted frizzled-related protein 5
TRYX3	NM_001001317	trypsin X3
OR56A3	NM_001003443	olfactory receptor, family 56, subfamily A,
EBAG9	NM_004215/NM_198120	estrogen receptor binding site associated
ADAM6	NR_002224
UROD	NM_000374	uroporphyrinogen decarboxylase
ARL9	NM_206919	ADP-ribosylation factor-like 9
PDE2A	NM_002599	phosphodiesterase 2A, cGMP-stimulated
TUBB2A	NM_001069	tubulin, beta 2
RPL36	NM_015414/NM_033643	ribosomal protein L36
ASPM	NM_018136	asp (abnormal spindle)-like, microcephaly
RBCK1	NM_031229/NM_006462	RanBP-type and C3HC4-type zinc finger containing
AFF2	NM_002025	fragile X mental retardation 2
STARD6	NM_139171	START domain containing protein 6
EXOD1	NM_080663	exonuclease domain containing 1
ZDHHC8	NM_013373	zinc finger, DHHC domain containing 8
LOC339674	NR_024355
KRTAP4-5	NM_033188	keratin associated protein 4-5
PLXNA2	NM_025179	plexin A2
ACTL6B	NM_016188	actin-like 6B
3.8-1	NR_002812
IL2RA	NM_000417	interleukin 2 receptor, alpha chain precursor
PNRC2	NM_017761	proline-rich nuclear receptor coactivator 2
CD24	NM_013230	CD24 antigen precursor
DENND2C	NM_198459	DENN/MADD domain containing 2C
STXBP5L	NM_014980	syntaxin binding protein 5-like
REXO1L2P	NR_003594
TBCC	NM_003192	beta-tubulin cofactor C
NSF	NM_006178	N-ethylmaleimide-sensitive factor
KCNJ1	NM_153766/NM_153767/NM_153764/NM_153765/NM_000220	potassium inwardly-rectifying channel J1 isoform
