NM_000367	TPMT	thiopurine S-methyltransferase
NM_001009931	HRNR	hornerin
NM_001005470	OR4B1	olfactory receptor, family 4, subfamily B,
NM_001005472	LOC388524	hypothetical protein LOC388524
NM_001005464	H3/o	histone H3/o
NM_001005471	OR2T6	olfactory receptor, family 2, subfamily T,
NM_054107	OR1J2	olfactory receptor, family 1, subfamily J,
NM_206899	OR10P1	olfactory receptor, family 10, subfamily P,
NM_001001657	OR2Y1	olfactory receptor, family 2, subfamily Y,
NM_001001674	OR4F15	olfactory receptor, family 4, subfamily F,
NM_001001919	OR13C4	olfactory receptor, family 13, subfamily C,
NM_001001923	OR5C1	olfactory receptor, family 5, subfamily C,
NM_001001952	OR5D18	olfactory receptor, family 5, subfamily D,
NM_001001955	OR4C13	olfactory receptor, family 4, subfamily C,
NM_001004052	OR52B2	olfactory receptor, family 52, subfamily B,
NM_001005482	OR5H2	olfactory receptor, family 5, subfamily H,
NM_001005483	OR4K5	olfactory receptor, family 4, subfamily K,
NM_001005489	OR5B17	olfactory receptor, family 5, subfamily B,
NM_001005487	OR13G1	olfactory receptor, family 13, subfamily G,
NM_001005491	OR10AG1	olfactory receptor, family 10, subfamily AG,
NM_001005492	OR5J2	olfactory receptor, family 5, subfamily J,
NM_001005494	OR6C4	olfactory receptor, family 6, subfamily C,
NM_001005496	OR5D16	olfactory receptor, family 5, subfamily D,
NM_001005500	OR4M1	olfactory receptor, family 4, subfamily M,
NM_001005501	OR4K2	olfactory receptor, family 4, subfamily K,
NM_001005498	RHBDL6	rhomboid, veinlet-like 6 isoform 2
NM_175883	OR7D2	olfactory receptor, family 7, subfamily D,
NM_001005479	OR5H6	olfactory receptor, family 5, subfamily H,
NM_003697	OR5F1	olfactory receptor, family 5, subfamily F,
NM_001005486	OR4K15	olfactory receptor, family 4, subfamily K,
NM_001005480	OR2A2	olfactory receptor, family 2, subfamily A,
NM_001005484	OR4F5	olfactory receptor, family 4, subfamily F,
NM_001005495	OR2T3	olfactory receptor, family 2, subfamily T,
NM_001005503	OR11G2	olfactory receptor, family 11, subfamily G,
NM_172194	OR4Q3	olfactory receptor, family 4, subfamily Q,
NM_001005473	PLCXD3	phosphatidylinositol-specific phospholipase C, X
NM_001005463	EBF3	early B-cell factor 3
NM_015353	KCTD2	potassium channel tetramerisation domain
NM_001005408	KIAA1787	hypothetical protein LOC84461 isoform 2
NM_001005476	PKP4	plakophilin 4 isoform b
NM_001005376	PLAUR	plasminogen activator, urokinase receptor
NM_001005377	PLAUR	plasminogen activator, urokinase receptor
NM_001005367	TTYH1	tweety 1 isoform 2
NM_001005409	SF3A1	splicing factor 3a, subunit 1, 120kDa isoform 2
NM_014598	SOCS7	suppressor of cytokine signaling 7
NM_203464	AK3L1	adenylate kinase 3-like 1
NM_001005353	AK3L1	adenylate kinase 3-like 1
NM_001005407	CACNA1H	calcium channel, voltage-dependent, alpha 1H
NM_001005502	CPM	carboxypeptidase M precursor
NM_001005474	NFKBIZ	nuclear factor of kappa light polypeptide gene
NM_015075	IQSEC2	IQ motif and Sec7 domain 2
NM_012365	OR2A5	olfactory receptor, family 2, subfamily A,
NM_080859	OR1K1	olfactory receptor, family 1, subfamily K,
NM_001005512	OR4A47	olfactory receptor, family 4, subfamily A,
NM_001005522	OR2T8	olfactory receptor, family 2, subfamily T,
NM_001005566	OR5B2	olfactory receptor, family 5, subfamily B,
NM_001005490	OR6C74	olfactory receptor, family 6, subfamily C,
NM_001005493	OR6C6	olfactory receptor, family 6, subfamily C,
NM_001005499	OR6C70	olfactory receptor, family 6, subfamily C,
NM_001005504	OR4F21	olfactory receptor, family 4, subfamily F,
NM_001005514	OR5H14	olfactory receptor, family 5, subfamily H,
NM_001005516	OR5K3	olfactory receptor, family 5, subfamily K,
NM_001005518	OR6C65	olfactory receptor, family 6, subfamily C,
NM_001005515	OR5H15	olfactory receptor, family 5, subfamily H,
NM_001005517	OR5K4	olfactory receptor, family 5, subfamily K,
NM_001005519	OR6C68	olfactory receptor, family 6, subfamily C,
NM_001005567	OR51B5	olfactory receptor, family 51, subfamily B,
NM_001005527	FAM19A4	family with sequence similarity 19 (chemokine
NM_052869	TTYH2	tweety 2 isoform 2
NM_001005497	OR6C75	olfactory receptor, family 6, subfamily C,
NM_001005609	EDA	ectodysplasin A isoform EDA-A2
NM_001005610	EDA	ectodysplasin A isoform EDA-B
NM_001005611	EDA	ectodysplasin A isoform EDA-C
NM_001005612	EDA	ectodysplasin A isoform EDA-D
NM_001005613	EDA	ectodysplasin A isoform EDA-E
NM_001005614	EDA	ectodysplasin A isoform EDA-F
NM_001005615	EDA	ectodysplasin A isoform EDA-O
NM_001005526	SF3B1	splicing factor 3b, subunit 1 isoform 2
NM_001005366	FBXL10	F-box and leucine-rich repeat protein 10 isoform
NM_001005738	FPRL1	formyl peptide receptor-like 1
NM_001005505	CACNA2D2	calcium channel, voltage-dependent, alpha
NM_031215	CABLES2	Cdk5 and Abl enzyme substrate 2
NM_015215	CAMTA1	calmodulin-binding transcription activator 1
NM_017780	CHD7	chromodomain helicase DNA binding protein 7
NM_001005735	CHEK2	protein kinase CHK2 isoform c
NM_001005732	C21orf34	hypothetical protein LOC388815 isoform a
NM_001005733	C21orf34	hypothetical protein LOC388815 isoform a
NM_001005734	C21orf34	hypothetical protein LOC388815 isoform b
NM_001005521	C21orf37	hypothetical protein LOC54076
NM_053064	GNG2	guanine nucleotide binding protein (G protein),
NM_001005751	LOC387680	hypothetical protein LOC387680
NM_014936	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase
NM_001005743	NUMB	numb homolog isoform 1
NM_001005744	NUMB	numb homolog isoform 2
NM_001005745	NUMB	numb homolog isoform 4
NM_030948	PHACTR1	phosphatase and actin regulator 1
NM_016389	IVNS1ABP	influenza virus NS1A binding protein isoform b
NM_001005753	VPS24	vacuolar protein sorting 24 isoform 2
NM_001005783	HAO2	hydroxyacid oxidase 2
NM_001005739	VPS54	vacuolar protein sorting 54 isoform 2
NM_001004470	ST8SIA6	ST8 alpha-N-acetyl-neuraminide
NM_001005853	OR6B2	olfactory receptor, family 6, subfamily B,
NM_001005785	DAZ2	deleted in azoospermia 2 isoform 2
NM_001005786	DAZ2	deleted in azoospermia 2 isoform 3
NM_001005375	DAZ4	deleted in azoospermia 4 isoform 1
NM_001005845	ADAM9	a disintegrin and metalloproteinase domain 9
NM_001005736	LYST	lysosomal trafficking regulator isoform 2
NM_175620	MTM	metallothionein M
NM_001005850	BC37295_3	hypothetical protein LOC90485
NM_001005851	LOC163131	hypothetical protein LOC163131
NM_001005852	CYorf15A	hypothetical protein LOC246126
NM_001409	EGFL3	EGF-like-domain, multiple 3
NM_058170	OLFM3	olfactomedin 3
NM_014917	NTNG1	netrin G1
NM_001005922	KRTAP5-1	keratin associated protein 5-1
NM_001006117	RBMY1J	RNA binding motif protein, Y-linked, family 1,
NM_001006118	RBMY1E	RNA binding motif protein, Y-linked, family 1,
NM_001006120	RBMY1D	RNA binding motif protein, Y-linked, family 1,
NM_001005861	RYK	RYK receptor-like tyrosine kinase isoform 1
NM_001005619	ITGB4	integrin beta 4 isoform 2 precursor
NM_001005731	ITGB4	integrin beta 4 isoform 3 precursor
NM_001005741	GBA	glucocerebrosidase precursor
NM_001005742	GBA	glucocerebrosidase precursor
NM_001005749	GBA	glucocerebrosidase precursor
NM_001005750	GBA	glucocerebrosidase precursor
NM_001005752	GJB3	connexin 31
NM_001005737	CACNA2D4	voltage-gated calcium channel alpha(2)delta-4
NM_001005766	CACNA2D4	voltage-gated calcium channel alpha(2)delta-4
NM_001005746	CACNB4	calcium channel, voltage-dependent, beta 4
NM_001005747	CACNB4	calcium channel, voltage-dependent, beta 4
NM_001006116	C21orf49	hypothetical protein LOC54067
NM_058181	C21orf57	hypothetical protein LOC54059 isoform 1
NM_001006114	C21orf57	hypothetical protein LOC54059 isoform 2
NM_001005914	SEMA3B	semaphorin 3B isoform 2 precursor
NM_006772	SYNGAP1	synaptic Ras GTPase activating protein 1
NM_001006109	DC12	hypothetical protein LOC56941
NM_018156	VPS13D	vacuolar protein sorting 13D isoform 2
NM_014717	ZNF536	zinc finger protein 536
NM_014804	KIAA0753	hypothetical protein LOC9851
NM_014630	ZNF592	zinc finger protein 592
NM_015206	KIAA1024	hypothetical protein LOC23251
NM_025249	KIAA1683	KIAA1683
NM_024328	THTPA	thiamine triphosphatase
NM_001005920	LOC339123	hypothetical LOC339123
NM_001006113	OATL1	ornithine aminotransferase-like 1
NM_002536	OATL1	ornithine aminotransferase-like 1
NM_006836	GCN1L1	GCN1 general control of amino-acid synthesis
NM_031449	DKFZp761I2123	hypothetical protein LOC83637 isoform 1
NM_174929	DKFZp761I2123	hypothetical protein LOC83637 isoform 2
NM_001006603	SYPL2	mitsugumin 29
NM_001006604	LOC387646	hypothetical protein LOC387646
NM_001006605	LOC388650	hypothetical protein LOC388650
NM_001006606	LOC388882	hypothetical protein LOC388882
NM_001006608	STGC3	hypothetical protein LOC474171
NM_001006607	LOC474170	c114 SLIT-like testicular protein
NM_001006121	RBMY1B	RNA binding motif protein, Y-linked, family 1,
NM_001006624	PDPN	lung type-I cell membrane-associated
NM_001006625	PDPN	lung type-I cell membrane-associated
NM_001005781	SUMO1	small ubiquitin-like modifier 1 isoform a
NM_001005782	SUMO1	small ubiquitin-like modifier 1 isoform b
NM_001005849	SUMO2	small ubiquitin-like modifier 2 isoform b
NM_153259	MCOLN2	mucolipin 2
NM_001006635	MTX2	metaxin 2 isoform b
NM_015349	KIAA0240	hypothetical protein LOC23506
NM_015299	KIAA0323	hypothetical protein LOC23351
NM_015251	ASCIZ	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger
NM_015253	KIAA0523	hypothetical protein LOC23302
NM_001005862	ERBB2	erbB-2 isoform b
NM_001005915	ERBB3	erbB-3 isoform s precursor
NM_001006626	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006627	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006628	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006629	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006630	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006631	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006632	CHRM2	cholinergic receptor, muscarinic 2 isoform a
NM_001006658	CR2	complement component (3d/Epstein Barr virus)
NM_015398	DKFZP564J102	hypothetical protein LOC25854
NM_001006655	DKFZP564J102	hypothetical protein LOC25854
NM_015082	FSTL4	follistatin-like 4
NM_014877	HELZ	helicase with zinc finger domain
NM_015428	ZNF473	zinc finger protein 473
NM_001006656	ZNF473	zinc finger protein 473
NM_015202	KIAA0556	hypothetical protein LOC23247
NM_015214	DDHD2	DDHD domain containing 2
NM_015226	KIAA0350	hypothetical protein LOC23274
NM_033276	KUB3	Ku70-binding protein 3
NM_015185	ARHGEF9	Cdc42 guanine exchange factor 9
NM_015267	CUTL2	cut-like 2
NM_001006616	TSPAN17	transmembrane 4 superfamily member 17 isoform c
NM_012171	TSPAN17	transmembrane 4 superfamily member 17 isoform a
NM_001006637	RAB37	RAB37, member RAS oncogene family
NM_001006638	RAB37	RAB37, member RAS oncogene family
NM_015231	NUP160	nucleoporin 160kDa
NM_001006636	GTDC1	glycosyltransferase-like domain containing 1
NM_001006634	ARHGAP17	nadrin
NM_198576	AGRN	agrin
NM_001006666	APOBEC3F	apolipoprotein B mRNA editing enzyme, catalytic
NM_033054	MYO1G	myosin IG
NM_133463	KIAA1950	hypothetical protein LOC155185
NM_133465	KIAA1958	hypothetical protein LOC158405
NM_032437	KIAA1799	KIAA1799 protein
NM_052907	KIAA1906	hypothetical protein LOC114795
NM_020931	KIAA1586	hypothetical protein LOC57691
NM_020959	KIAA1623	hypothetical protein LOC57719
NM_020901	KIAA1542	CTD-binding SR-like protein rA9
NM_020917	KIAA1559	zinc finger protein 14-like
NM_020893	KIAA1529	KIAA1529
NM_020894	KIAA1530	hypothetical protein LOC57654
NM_020784	KIAA1344	hypothetical protein LOC57544
NM_020879	KIAA1505	hypothetical protein LOC57639
NM_015026	KIAA1040	hypothetical protein LOC23041
NM_014988	KIAA1102	hypothetical protein LOC22998
NM_014963	KIAA0963	KIAA0963
NM_014967	KIAA1018	hypothetical protein LOC22909
NM_015020	PHLPPL	PH domain and leucine rich repeat protein
NM_014898	KIAA0961	zinc finger protein KIAA0961
NM_014949	KIAA0907	hypothetical protein LOC22889
NM_014897	ZNF652	zinc finger protein 652
NM_014704	KIAA0562	glycine-, glutamate-,
NM_014712	KIAA0339	hypothetical protein LOC9739
NM_014774	KIAA0494	hypothetical protein LOC9813
NM_014777	KIAA0133	hypothetical protein LOC9816
NM_014743	KIAA0232	hypothetical protein LOC9778
NM_014726	ProSAPiP2	ProSAPiP2 protein
NM_014636	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
NM_021239	RBM25	RNA binding motif protein 25
NM_001007089	RESP18	regulated endocrine-specific protein 18
NM_014806	RUSC2	RUN and SH3 domain containing 2
NM_012431	SEMA3E	semaphorin 3E
NM_014775	SFI1	spindle assembly associated Sfi1 homolog isoform
NM_020342	SLC39A10	solute carrier family 39 (zinc transporter),
NM_014841	SNAP91	synaptosomal-associated protein, 91kDa homolog
NM_133477	SYNPO2	synaptopodin 2
NM_015028	TNIK	TRAF2 and NCK interacting kinase
NM_004238	TRIP12	thyroid hormone receptor interactor 12
NM_020458	TTC7A	tetratricopeptide repeat domain 7A
NM_014671	UBE3C	ubiquitin protein ligase E3C
NM_001006939	LRRC18	leucine rich repeat containing 18
NM_003861	WDR22	Breakpoint cluster region protein, uterine
NM_015512	DNAH1	dynein, axonemal, heavy polypeptide 1
NM_014838	ZBED4	zinc finger, BED domain containing 4
NM_014950	ZBTB1	zinc finger and BTB domain containing 1
NM_014941	ZCWCC1	zinc finger, CW type with coiled-coil domain 1
NM_020972	ZFYVE28	zinc finger, FYVE domain containing 28
NM_144680	ZNF18	zinc finger protein 18
NM_020807	ZNF319	zinc finger protein 319
NM_001007169	ZNF483	zinc finger protein 483 isoform b
NM_133464	ZNF483	zinc finger protein 483 isoform a
NM_001007101	ZNF484	zinc finger protein 484 isoform b
NM_031486	ZNF484	zinc finger protein 484 isoform a
NM_014930	ZNF510	zinc finger protein 510
NM_020747	ZNF608	zinc finger protein 608
NM_014606	HERC3	hect domain and RLD 3
NM_015698	GPKOW	G patch domain and KOW motifs
NM_138426	GLCCI1	glucocorticoid induced transcript 1
NM_001007090	FLJ25402	hypothetical protein LOC157773
NM_152406	FLJ36748	hypothetical protein LOC134265
NM_019600	FLJ10980	hypothetical protein LOC56204
NM_024646	ZYG11B	hypothetical protein LOC79699
NM_018028	FLJ10211	hypothetical protein LOC55095
NM_018351	FGD6	FYVE, RhoGEF and PH domain containing 6
NM_020704	FAM40B	family with sequence similarity 40, member B
NM_014808	FARP2	FERM, RhoGEF and pleckstrin domain protein 2
NM_020225	STOX2	hypothetical protein LOC56977
NM_015432	PLEKHG4	pleckstrin homology domain containing, family G
NM_144566	DKFZp434I1610	hypothetical protein LOC90592
NM_001007033	CLEC6A	C-type lectin, superfamily member 10
NM_020754	CDGAP	Cdc42 GTPase-activating protein
NM_014895	C6orf84	hypothetical protein LOC22832
NM_020431	C14orf171	hypothetical protein LOC57156
NM_015695	BRPF3	bromodomain and PHD finger containing, 3
NM_014915	ANKRD26	ankyrin repeat domain 26
NM_014942	ANKRD6	ankyrin repeat domain 6
NM_001006667	TAC3	tachykinin 3
NM_175856	CSS3	chondroitin sulfate synthase 3
NM_001005918	ATP7B	ATPase, Cu++ transporting, beta polypeptide
NM_001005855	ATP8B2	ATPase, Class I, type 8B, member 2 isoform b
NM_001006940	ALG3	alpha-1,3-mannosyltransferase ALG3 isoform c
NM_001006941	ALG3	alpha-1,3-mannosyltransferase ALG3 isoform d
NM_001006942	ALG3	alpha-1,3-mannosyltransferase ALG3 isoform b
NM_001007028	ALG8	alpha-1,3-glucosyltransferase ALG8 isoform c
NM_021110	COL14A1	collagen, type XIV, alpha 1
NM_033388	FLJ00012	hypothetical protein LOC89849
NM_012233	RAB3GAP	RAB3 GTPase-activating protein
NM_001006945	C1orf103	receptor-interacting factor 1 isoform 2
NM_001007073	RPL32	ribosomal protein L32
NM_001007074	RPL32	ribosomal protein L32
NM_001006665	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide
NM_001006932	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide
NM_001006944	RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide
NM_001006612	WBP5	WW domain binding protein 5
NM_001006613	WBP5	WW domain binding protein 5
NM_001006614	WBP5	WW domain binding protein 5
NM_001006615	WDR31	WD repeat domain 31 isoform 2
NM_001006622	WDR33	WD repeat domain 33 isoform 2
NM_001006623	WDR33	WD repeat domain 33 isoform 3
NM_001006657	WDR35	WD repeat domain 35 isoform 1
NM_001006639	TCEAL1	transcription elongation factor A (SII)-like 1
NM_001006640	TCEAL1	transcription elongation factor A (SII)-like 1
NM_001006933	TCEAL3	transcription elongation factor A (SII)-like 3
NM_001006935	TCEAL4	transcription elongation factor A (SII)-like 4
NM_001006936	TCEAL4	transcription elongation factor A (SII)-like 4
NM_001006937	TCEAL4	transcription elongation factor A (SII)-like 4
NM_001006684	TCEAL8	transcription elongation factor A (SII)-like 8
NM_001006946	SDC1	syndecan 1 precursor
NM_001007067	SDCBP	syntenin isoform 1
NM_001007068	SDCBP	syntenin isoform 2
NM_001007069	SDCBP	syntenin isoform 3
NM_001007070	SDCBP	syntenin isoform 3
NM_006842	SF3B2	splicing factor 3B subunit 2
NM_014631	SH3MD1	SH3 multiple domains 1
NM_001006610	SIAH1	seven in absentia homolog 1 isoform b
NM_032451	SPIRE2	spire homolog 2
NM_014702	KIAA0408	hypothetical protein LOC9729
NM_015549	PLEKHG3	pleckstrin homology domain containing, family G,
NM_015054	KIAA0701	hypothetical protein LOC23074 isoform a
NM_001006947	KIAA0701	hypothetical protein LOC23074 isoform b
NM_014653	KIAA0789	hypothetical protein LOC9671
NM_014931	KIAA1115	hypothetical protein LOC22870
NM_020729	KIAA1229	hypothetical protein LOC57489 isoform a
NM_001007022	KIAA1229	hypothetical protein LOC57489 isoform b
NM_020776	KIAA1328	hypothetical protein LOC57536
NM_020782	KLHDC5	kelch domain containing 5
NM_020802	KIAA1377	hypothetical protein LOC57562
NM_019024	KIAA1414	hypothetical protein LOC54497
NM_173602	KIAA1463	hypothetical protein LOC57609
NM_020943	KIAA1604	hypothetical protein LOC57703
NM_020946	KIAA1608	hypothetical protein LOC57706 isoform 1
NM_024820	KIAA1608	hypothetical protein LOC57706 isoform 2
NM_024896	KIAA1815	hypothetical protein LOC79956
NM_014662	DEPDC5	DEP domain containing 5 isoform 1
NM_001007188	DEPDC5	DEP domain containing 5 isoform 2
NM_001007023	DIO2	deiodinase, iodothyronine, type II isoform b
NM_003727	DNAH17	dynein, axonemal, heavy polypeptide 17
NM_014787	DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6
NM_001007026	ATN1	atrophin-1
NM_001006115	IHPK1	inositol hexaphosphate kinase 1 isoform 2
NM_001005909	IHPK2	inositol hexaphosphate kinase 2 isoform a
NM_001005910	IHPK2	inositol hexaphosphate kinase 2 isoform b
NM_001005911	IHPK2	inositol hexaphosphate kinase 2 isoform b
NM_001005912	IHPK2	inositol hexaphosphate kinase 2 isoform c
NM_001005913	IHPK2	inositol hexaphosphate kinase 2 isoform c
NM_014660	PHF14	PHD finger protein 14 isoform 2
NM_001007157	PHF14	PHD finger protein 14 isoform 1
