MYO9B	NM_001130065	myosin IXB isoform 2
ACTL6A	NM_004301	actin-like 6A isoform 1
SLC34A1	NM_003052	solute carrier family 34 (sodium phosphate),
TRAK2	NM_015049	trafficking protein, kinesin binding 2
FGF1	NM_033136	fibroblast growth factor 1 (acidic) isoform 2
IGF2BP2	NM_006548	insulin-like growth factor 2 mRNA binding
GTPBP6	NM_012227	pseudoautosomal GTP-binding protein-like
NARS	NM_004539	asparaginyl-tRNA synthetase
PLGLB1	NM_001032392	plasminogen-like B1
CAMLG	NM_001745	calcium modulating ligand
SFRS16	NM_007056	splicing factor, arginine/serine-rich 16
ZNF660	NM_173658	zinc finger protein 660
ARL11	NM_138450	ADP-ribosylation factor-like 11
SERPINB13	NM_012397	serine (or cysteine) proteinase inhibitor, clade
CREBBP	NM_004380	CREB binding protein isoform a
IL19	NM_013371	interleukin 19 isoform 2 precursor
PPARG	NM_015869	peroxisome proliferative activated receptor
CTAGE5	NM_203354	CTAGE family, member 5 isoform 2
SEC14L4	NM_174977	SEC14p-like protein TAP3
TFAP2D	NM_172238	transcription factor AP-2 beta-like 1
GLCCI1	NM_138426	glucocorticoid induced transcript 1
C9orf85	NM_182505	hypothetical protein LOC138241
HLA-DPB1	NM_002121	major histocompatibility complex, class II, DP
ALG13	NM_018466	asparagine-linked glycosylation 13 homolog
WFIKKN2	NM_175575	WFIKKN2 protein
ABI1	NM_001012752	abl-interactor 1 isoform d
POLR3H	NM_001018050	polymerase (RNA) III (DNA directed) polypeptide
HIGD1C	NM_001109619	HIG1 domain family, member 1C
TTC16	NM_144965	tetratricopeptide repeat domain 16
SPATA7	NM_018418	spermatogenesis-associated protein 7 isoform a
LNX2	NM_153371	ligand of numb-protein X 2
NR2E1	NM_003269	nuclear receptor subfamily 2, group E, member 1
KIAA0082	NM_015050	hypothetical protein LOC23070
UBE3A	NM_130839	ubiquitin protein ligase E3A isoform 3
OR52E6	NM_001005167	olfactory receptor, family 52, subfamily E,
RTN4RL1	NM_178568	reticulon 4 receptor-like 1
BARD1	NM_000465	BRCA1 associated RING domain 1
PAX3	NM_181461	paired box 3 isoform PAX3g
AK3L1	NM_001005353	adenylate kinase 3-like 1 isoform 5
MCF2	NM_001099855	MCF.2 cell line derived transforming sequence
OAZ1	NM_004152	ornithine decarboxylase antizyme 1
CHRM2	NM_001006628	cholinergic receptor, muscarinic 2
INVS	NM_014425	inversin isoform a
NCALD	NM_001040630	neurocalcin delta
RASL10A	NM_006477	RAS-related on chromosome 22 isoform a
SPANXN3	NM_001009609	SPANX-N3 protein
HIG2	NM_001098786	hypoxia-inducible protein 2
NFATC1	NM_172387	nuclear factor of activated T-cells, cytosolic
OTUB2	NM_023112	OTU domain, ubiquitin aldehyde binding 2
MINA	NM_001042533	MYC induced nuclear antigen isoform a
RGPD7	NM_001037866	RANBP2-like and GRIP domain containing 7
RBBP9	NM_006606	retinoblastoma binding protein 9
HEBP2	NM_014320	heme binding protein 2
FGF21	NM_019113	fibroblast growth factor 21 precursor
MKI67	NM_002417	antigen identified by monoclonal antibody Ki-67
TNFRSF10B	NM_003842	tumor necrosis factor receptor superfamily,
RCOR3	NM_018254	REST corepressor 3
KLK11	NM_144947	kallikrein 11 isoform 2 precursor
ZXDC	NM_025112	ZXD family zinc finger C isoform 1
RPL23	NM_000978	ribosomal protein L23
VCAM1	NM_080682	vascular cell adhesion molecule 1 isoform b
ZSCAN22	NM_181846	zinc finger and SCAN domain containing 22
PRIC285	NM_033405	PPAR-alpha interacting complex protein 285
ANKRD23	NM_144994	diabetes related ankyrin repeat protein
PTPRO	NM_030671	receptor-type protein tyrosine phosphatase O
INPP5D	NM_001017915	SH2 containing inositol phosphatase isoform a
ZNHIT2	NM_014205	zinc finger, HIT domain containing 2
SLC25A18	NM_031481	solute carrier
SOX5	NM_178010	SRY (sex determining region Y)-box 5 isoform c
KCNC2	NM_139137	Shaw-related voltage-gated potassium channel
OR1N1	NM_012363	olfactory receptor, family 1, subfamily N,
LOC401052	NM_001008737	hypothetical protein LOC401052
CDC42SE2	NM_001038702	CDC42 small effector 2
SYNGR3	NM_004209	synaptogyrin 3
FOXR1	NM_181721	forkhead box R1
EHMT2	NM_025256	euchromatic histone-lysine N-methyltransferase 2
IFFO	NM_001039670	intermediate filament family orphan isoform 4
BLZF1	NM_003666	basic leucine zipper nuclear factor 1
MEX3A	NM_001093725	MEX3A protein
SIDT2	NM_001040455	SID1 transmembrane family, member 2
GPR6	NM_005284	G protein-coupled receptor 6
GLRX	NM_002064	glutaredoxin (thioltransferase)
TTYH2	NM_052869	tweety 2 isoform 2
NUP62	NM_012346	nucleoporin 62kDa
BTBD2	NM_017797	BTB (POZ) domain containing 2
ARVCF	NM_001670	armadillo repeat protein
TBCB	NM_001281	cytoskeleton associated protein 1
ZMAT5	NM_001003692	zinc finger, matrin type 5
ZNF468	NM_001008801	zinc finger protein ZNF468 isoform 2
ZNF324	NM_014347	zinc finger protein 324
WDR18	NM_024100	WD repeat domain 18
DMPK	NM_001081562	myotonic dystrophy protein kinase isoform 4
YIF1B	NM_033557	Yip1 interacting factor homolog B isoform 2
TARS2	NM_025150	threonyl-tRNA synthetase 2, mitochondrial
EPB42	NM_000119	erythrocyte membrane protein band 4.2 isoform 1
CCR6	NM_031409	chemokine (C-C motif) receptor 6
SNX27	NM_030918	sorting nexin family member 27
CCL28	NM_148672	chemokine (C-C motif) ligand 28 precursor
PPP4R1	NM_001042388	protein phosphatase 4, regulatory subunit 1
NFIA	NM_005595	nuclear factor I/A
CEACAM16	NM_001039213	carcinoembryonic antigen-related cell adhesion
MBP	NM_001025081	myelin basic protein isoform 1
TNXB	NM_019105	tenascin XB isoform 1 precursor
HERPUD1	NM_014685	homocysteine-inducible, endoplasmic reticulum
OR2A25	NM_001004488	olfactory receptor, family 2, subfamily A,
AIFM1	NM_004208	programmed cell death 8 isoform 1
C9orf68	NM_001039395	hypothetical protein LOC55064
UGT2A1	NM_006798	UDP glycosyltransferase 2 family, polypeptide
WDR27	NM_182552	WD repeat domain 27
RBM26	NM_022118	RNA binding motif protein 26
PLA2G2A	NM_000300	phospholipase A2, group IIA
GNG8	NM_033258	guanine nucleotide binding protein (G protein),
CHKB	NM_152253	choline/ethanolamine kinase isoform b
CDH12	NM_004061	cadherin 12, type 2 preproprotein
B3GNT3	NM_014256	UDP-GlcNAc:betaGal
MYL6	NM_079423	myosin, light chain 6, alkali, smooth muscle and
UBE2A	NM_181762	ubiquitin-conjugating enzyme E2A isoform 2
CDC27	NM_001114091	cell division cycle protein 27 isoform 1
OR2G3	NM_001001914	olfactory receptor, family 2, subfamily G,
RASSF1	NM_007182	Ras association domain family 1 isoform A
CLIP2	NM_032421	CAP-GLY domain containing linker protein 2
SLC26A1	NM_022042	solute carrier family 26, member 1 isoform a
CABP4	NM_145200	calcium binding protein 4
MYOM1	NM_003803	myomesin 1 isoform a
ARMS2	NM_001099667	age-related maculopathy susceptibility 2
KLK6	NM_002774	kallikrein-related peptidase 6 isoform A
GPS1	NM_212492	G protein pathway suppressor 1 isoform 1
E2F7	NM_203394	E2F transcription factor 7
TMEM173	NM_198282	transmembrane protein 173
DTNB	NM_033148	dystrobrevin, beta isoform 3
CCNY	NM_181698	cyclin Y isoform 2
HIST2H3A	NM_001005464	histone cluster 2, H3a
CLDN5	NM_003277	claudin 5
WDHD1	NM_001008396	WD repeat and HMG-box DNA binding protein 1
PTGFR	NM_001039585	prostaglandin F receptor isoform b precursor
PVALB	NM_002854	parvalbumin
KBTBD7	NM_032138	kelch repeat and BTB (POZ) domain containing 7
NCF2	NM_000433	neutrophil cytosolic factor 2
AUP1	NM_181575	ancient ubiquitous protein 1
ASB6	NM_177999	ankyrin repeat and SOCS box-containing 6 isoform
DBT	NM_001918	dihydrolipoamide branched chain transacylase
CPVL	NM_031311	serine carboxypeptidase vitellogenic-like
DNMT3B	NM_175849	DNA cytosine-5 methyltransferase 3 beta isoform
LOC728937	NM_001093731	hypothetical protein LOC728937
HEXB	NM_000521	hexosaminidase B preproprotein
FAM101B	NM_182705	hypothetical protein LOC359845
LOC728269	NM_001080790	melanoma antigen family A, 9 -like
SERPINF1	NM_002615	serine (or cysteine) proteinase inhibitor, clade
MGC87631	NM_001004306	hypothetical protein LOC339184
ALDH4A1	NM_170726	aldehyde dehydrogenase 4A1 precursor
FAM160B1	NM_020940	hypothetical protein LOC57700
C3orf18	NM_016210	hypothetical protein LOC51161
PPP1R12B	NM_002481	protein phosphatase 1, regulatory (inhibitor)
PRTFDC1	NM_020200	phosphoribosyl transferase domain containing 1
MYBBP1A	NM_001105538	MYB binding protein 1a isoform 1
COG1	NM_018714	component of oligomeric golgi complex 1
ZNF426	NM_024106	zinc finger protein 426
TMEM59	NM_004872	thymic dendritic cell-derived factor 1
RRAGB	NM_006064	Ras-related GTP binding B short isoform
EIF4G1	NM_198241	eukaryotic translation initiation factor 4
ZNF480	NM_144684	zinc finger protein 480
OPTN	NM_021980	optineurin
GMIP	NM_016573	GEM interacting protein
C8orf31	NM_173687	hypothetical protein LOC286122
ATP2C2	NM_014861	calcium-transporting ATPase 2C2
CHMP1A	NM_001083314	chromatin modifying protein 1A isoform 1
UBR1	NM_174916	ubiquitin protein ligase E3 component n-recognin
NBEAL2	NM_015175	neurobeachin-like 2
MRPL12	NM_002949	mitochondrial ribosomal protein L12
LMNB1	NM_005573	lamin B1
KIAA0427	NM_014772	hypothetical protein LOC9811
ZNF133	NM_001083330	zinc finger protein 133
ANK1	NM_020475	ankyrin 1 isoform 4
SMCR7L	NM_019008	hypothetical protein LOC54471
PSMC3IP	NM_016556	PSMC3 interacting protein isoform 2
GPR98	NM_032119	G protein-coupled receptor 98 precursor
DHPS	NM_001930	deoxyhypusine synthase isoform a
PPM1L	NM_139245	protein phosphatase 1 (formerly 2C)-like
MRFAP1L1	NM_203462	Morf4 family associated protein 1-like 1
UBL7	NM_032907	ubiquitin-like 7
SLC45A2	NM_016180	membrane-associated transporter protein isoform
ANKRD7	NM_001077708	ankyrin repeat domain 7 isoform a
C2orf47	NM_024520	hypothetical protein LOC79568
LYPD2	NM_205545	LY6/PLAUR domain containing 2
GEMIN7	NM_024707	gemin 7
EXOSC10	NM_002685	exosome component 10 isoform 2
IHH	NM_002181	Indian hedgehog homolog
COL13A1	NM_080811	alpha 1 type XIII collagen isoform 15
RPL15	NM_002948	ribosomal protein L15
FBXL3	NM_012158	F-box and leucine-rich repeat protein 3
TCTEX1D4	NM_001013632	Tctex1 domain containing 4
ZFP3	NM_153018	zinc finger protein-3
OR52B4	NM_001005161	olfactory receptor, family 52, subfamily B,
KCNIP3	NM_013434	Kv channel interacting protein 3 isoform 1
SLC3A2	NM_001012662	solute carrier family 3 (activators of dibasic
HRNR	NM_001009931	hornerin
ZDHHC13	NM_001001483	zinc finger, DHHC domain containing 13 isoform
OR5M9	NM_001004743	olfactory receptor, family 5, subfamily M,
TMF1	NM_007114	TATA element modulatory factor 1
DKFZp547H025	NM_020161	hypothetical protein LOC56918
MYADM	NM_001020818	myeloid-associated differentiation marker
ATIC	NM_004044	5-aminoimidazole-4-carboxamide ribonucleotide
A4GNT	NM_016161	alpha-1,4-N-acetylglucosaminyltransferase
CCT6A	NM_001009186	chaperonin containing TCP1, subunit 6A isoform
CLIC1	NM_001288	chloride intracellular channel 1
NR1H3	NM_005693	nuclear receptor subfamily 1, group H, member 3
ABCC11	NM_033151	ATP-binding cassette, sub-family C, member 11
NDRG2	NM_201541	N-myc downstream-regulated gene 2 isoform b
CTNNB1	NM_001098209	catenin (cadherin-associated protein), beta 1,
KLHDC7A	NM_152375	kelch domain containing 7A
POLG	NM_002693	DNA polymerase gamma
SNW1	NM_012245	SKI-interacting protein
UMODL1	NM_001004416	uromodulin-like 1 isoform 1 precursor
SF3A1	NM_005877	splicing factor 3a, subunit 1, 120kDa isoform 1
MCM7	NM_182776	minichromosome maintenance complex component 7
ADAMDEC1	NM_014479	ADAM-like, decysin 1
RPRML	NM_203400	reprimo-like
CLEC4A	NM_194447	C-type lectin domain family 4, member A isoform
C6orf72	NM_138785	hypothetical protein LOC116254
PHYHD1	NM_174933	phytanoyl-CoA dioxygenase domain containing 1
FLJ22662	NM_024829	hypothetical protein LOC79887
FLJ35767	NM_207459	hypothetical protein LOC400629
GPR15	NM_005290	G protein-coupled receptor 15
SPAG4L	NM_080675	sperm associated antigen 4-like
C4orf43	NM_018352	hypothetical protein LOC55319
NR1I2	NM_003889	pregnane X receptor isoform 1
AMY1A	NM_001008221	salivary amylase alpha 1A precursor
BAX	NM_138763	BCL2-associated X protein isoform delta
ASH2L	NM_001105214	ash2-like isoform b
RPS11	NM_001015	ribosomal protein S11
OR6C65	NM_001005518	olfactory receptor, family 6, subfamily C,
KCNIP4	NM_025221	Kv channel interacting protein 4 isoform 1
SRF	NM_003131	serum response factor (c-fos serum response
DHX30	NM_138615	DEAH (Asp-Glu-Ala-His) box polypeptide 30
OR4D5	NM_001001965	olfactory receptor, family 4, subfamily D,
PRPH	NM_006262	peripherin
ARL6IP4	NM_001002251	SRp25 nuclear protein isoform 3
LYPD1	NM_144586	LY6/PLAUR domain containing 1 isoform a
CCL3L3	NM_001001437	chemokine (C-C motif) ligand 3-like 3 precursor
ZNF277	NM_021994	zinc finger protein (C2H2 type) 277
SERPINA6	NM_001756	corticosteroid binding globulin precursor
MLC1	NM_139202	megalencephalic leukoencephalopathy with
NUP62CL	NM_017681	nucleoporin 62kDa C-terminal like
TMEFF2	NM_016192	transmembrane protein with EGF-like and two
SPG3A	NM_181598	spastic paraplegia 3A isoform b
C4orf15	NM_024511	hypothetical protein LOC79441
SLN	NM_003063	sarcolipin
C10orf12	NM_015652	hypothetical protein LOC26148
RNFT2	NM_001109903	transmembrane protein 118 isoform 1
RTN4R	NM_023004	reticulon 4 receptor precursor
TMSB10	NM_021103	thymosin, beta 10
CCDC24	NM_152499	coiled-coil domain containing 24
ZAP70	NM_207519	zeta-chain associated protein kinase 70kDa
DNM2	NM_001005361	dynamin 2 isoform 2
FRMD6	NM_152330	FERM domain containing 6
TMEM209	NM_032842	transmembrane protein 209
ERO1LB	NM_019891	endoplasmic reticulum oxidoreductin 1-Lbeta
FAM117A	NM_030802	family with sequence similarity 117, member A
FAM46C	NM_017709	hypothetical protein LOC54855
OR6N2	NM_001005278	olfactory receptor, family 6, subfamily N,
GPS2	NM_004489	G protein pathway suppressor 2
SLC7A2	NM_001008539	solute carrier family 7, member 2 isoform 2
ALDOC	NM_005165	fructose-bisphosphate aldolase C
ICAM2	NM_000873	intercellular adhesion molecule 2 precursor
LAT2	NM_032464	linker for activation of T cells family member
B9D1	NM_015681	B9 protein
SCYL1	NM_020680	SCY1-like 1 isoform A
GATAD1	NM_021167	GATA zinc finger domain containing 1
RBMX	NM_002139	RNA binding motif protein, X-linked
PIGO	NM_152850	phosphatidylinositol glycan anchor biosynthesis,
LRRN2	NM_201630	leucine rich repeat neuronal 2
LTBP2	NM_000428	latent transforming growth factor beta binding
P2RX5	NM_175080	purinergic receptor P2X5 isoform B
AURKC	NM_003160	aurora kinase C isoform 3
ADAM19	NM_023038	ADAM metallopeptidase domain 19 isoform 1
PRAMEF18	NM_001099850	PRAME family member 18
CRISP1	NM_170609	acidic epididymal glycoprotein-like 1 isoform 2
SSSCA1	NM_006396	Sjogren syndrome/scleroderma autoantigen 1
COL4A2	NM_001846	alpha 2 type IV collagen preproprotein
SGK3	NM_170709	serum/glucocorticoid regulated kinase 3 isoform
IL1RAPL1	NM_014271	interleukin 1 receptor accessory protein-like 1
FRYL	NM_015030	furry-like
DBF4B	NM_025104	DBF4 homolog B isoform 2
AGT	NM_000029	angiotensinogen preproprotein
COMMD4	NM_017828	COMM domain containing 4
PCDHGB7	NM_032101	protocadherin gamma subfamily B, 7 isoform 2
TMEM86B	NM_173804	transmembrane protein 86B
FLT4	NM_182925	fms-related tyrosine kinase 4 isoform 1
SEP15	NM_203341	15 kDa selenoprotein isoform 2 precursor
IPO9	NM_018085	importin 9
ZNF30	NM_194325	zinc finger protein 30 isoform b
PRKAA1	NM_206907	protein kinase, AMP-activated, alpha 1 catalytic
FBXO11	NM_025133	F-box only protein 11 isoform 1
CEP27	NM_018097	centrosomal protein 27kDa isoform 1
DCN	NM_133507	decorin isoform e precursor
CHAT	NM_020984	choline acetyltransferase isoform 1
RNF141	NM_016422	ring finger protein 141
SLC45A2	NM_001012509	membrane-associated transporter protein isoform
C17orf80	NM_001100621	lung cancer-related protein 8 isoform b
AKR1CL2	NM_001040177	aldo-keto reductase family 1, member C-like 2
SEPT6	NM_145802	septin 6 isoform D
DPM3	NM_153741	dolichyl-phosphate mannosyltransferase
SDHC	NM_001035512	succinate dehydrogenase complex, subunit C
C1orf100	NM_001012970	hypothetical protein LOC200159
LDB1	NM_003893	LIM domain binding 1 isoform 3
BCAT2	NM_001190	branched chain aminotransferase 2,
IL1F7	NM_173204	interleukin 1 family, member 7 isoform 4
APBA1	NM_001163	amyloid beta A4 precursor protein-binding,
RPS16	NM_001020	ribosomal protein S16
EID3	NM_001008394	EP300 interacting inhibitor of differentiation
HHLA3	NM_007071	HERV-H LTR-associating 3 isoform 2
IDE	NM_004969	insulysin
ACOT8	NM_183386	peroxisomal acyl-CoA thioesterase 1 isoform c
TRIM43	NM_138800	tripartite motif-containing 43
CDC42EP1	NM_152243	CDC42 effector protein 1
MAMLD1	NM_005491	mastermind-like domain containing 1
UNC50	NM_014044	unc-50 homolog
RECQL5	NM_004259	RecQ protein-like 5 isoform 1
GUCY2F	NM_001522	guanylate cyclase 2F
GSTZ1	NM_001513	glutathione transferase zeta 1 isoform 3
LIPT1	NM_145197	lipoyltransferase 1
NOL1	NM_001033714	nucleolar protein 1, 120kDa
TRDMT1	NM_004412	tRNA aspartic acid methyltransferase 1 isoform
NDUFB7	NM_004146	NADH dehydrogenase (ubiquinone) 1 beta
CYP3A5	NM_000777	cytochrome P450, family 3, subfamily A,
KCTD13	NM_178863	potassium channel tetramerisation domain
DEFB107B	NM_001040705	defensin, beta 107B precursor
PAOX	NM_207127	polyamine oxidase (exo-N4-amino) isoform 2
MAP6	NM_207577	microtubule-associated protein 6 isoform 2
C6orf204	NM_206921	chromosome 6 open reading frame 204 isoform b
CT47.5	NM_001080142	hypothetical protein LOC728072
SLC25A28	NM_031212	solute carrier family 25, member 28
HGFAC	NM_001528	HGF activator preproprotein
POLS	NM_006999	DNA polymerase sigma
HNRNPH2	NM_019597	heterogeneous nuclear ribonucleoprotein H2
TMCO1	NM_019026	transmembrane and coiled-coil domains 1
ACTN1	NM_001102	actinin, alpha 1 isoform b
GPNMB	NM_002510	glycoprotein (transmembrane) nmb isoform b
HMGN2	NM_005517	high-mobility group nucleosomal binding domain
TLR1	NM_003263	toll-like receptor 1
PRG-3	NM_017753	plasticity related gene 3
GPR107	NM_020960	G protein-coupled receptor 107
PARD6G	NM_032510	PAR-6 gamma protein
REN	NM_000537	renin precursor
NUDT4	NM_019094	nudix-type motif 4 isoform alpha
RIBC1	NM_001031745	RIB43A domain with coiled-coils 1 isoform 1
RORB	NM_006914	RAR-related orphan receptor B
CLIC5	NM_001114086	chloride intracellular channel 5 isoform a
ATP6V1E1	NM_001696	vacuolar H+ ATPase E1 isoform a
TUB	NM_177972	tubby isoform b
BBS4	NM_033028	Bardet-Biedl syndrome 4
RAB3IL1	NM_013401	RAB3A interacting protein (rabin3)-like 1
CLN6	NM_017882	CLN6 protein
FECH	NM_000140	ferrochelatase isoform b precursor
LOC340286	NM_001105282	hypothetical protein LOC340286
LOC347475	NM_001101357	hypothetical protein LOC347475
TPD52L3	NM_001001875	protein kinase NYD-SP25 isoform 3
ZPLD1	NM_175056	zona pellucida-like domain containing 1
SLC37A2	NM_198277	solute carrier family 37 (glycerol-3-phosphate
FOXJ2	NM_018416	forkhead box J2
MBNL1	NM_021038	muscleblind-like 1 isoform a
GRIN3B	NM_138690	glutamate receptor, ionotropic,
L3MBTL3	NM_001007102	l(3)mbt-like 3 isoform b
SRP68	NM_014230	signal recognition particle 68kDa
CGB5	NM_033043	chorionic gonadotropin, beta polypeptide 5
SNX12	NM_013346	sorting nexin 12
CD46	NM_172353	CD46 antigen, complement regulatory protein
CDK5R2	NM_003936	cyclin-dependent kinase 5, regulatory subunit 2
GALNT11	NM_022087	GALNAC-T11
TNNT3	NM_006757	troponin T3, skeletal, fast isoform 1
STAG3L3	NM_001013739	stromal antigen 3-like 3
CLDN22	NM_001111319	claudin 22
BLVRB	NM_000713	biliverdin reductase B (flavin reductase
C1orf86	NM_182533	hypothetical protein LOC199990
OTOF	NM_194323	otoferlin isoform d
FAHD1	NM_031208	fumarylacetoacetate hydrolase domain containing
ERLIN2	NM_001003790	ER lipid raft associated 2 isoform 2
